k,accuracy
5,0.8455416666666666
10,0.8418749999999999
15,0.8376250000000001
20,0.8343333333333334
25,0.83025
30,0.8298333333333334
35,0.8252499999999999
40,0.8246249999999999
45,0.8223333333333335
50,0.8208750000000002
1,0.8375833333333335
2,0.833
3,0.8441666666666668
4,0.8456666666666666
5,0.8460416666666667
6,0.8455
7,0.843125
8,0.8432083333333334
9,0.8421249999999999
10,0.8425416666666667
11,0.8409166666666665
12,0.8397916666666667
13,0.8382916666666667
14,0.8382083333333334
15,0.8382083333333334
16,0.8377916666666667
17,0.8365833333333335
18,0.8359166666666666
19,0.8344166666666666
