k,componentes principales,accuracy
5,5,0.7354999999999999
5,20,0.8443333333333334
5,30,0.8516250000000001
5,50,0.8600208333333335
5,70,0.8599375
5,100,0.8630000000000001
5,130,0.8635000000000002
5,150,0.8628125000000001
10,5,0.7466041666666667
10,20,0.8472083333333333
10,30,0.8524166666666668
10,50,0.85875
10,70,0.8620208333333335
10,100,0.8639166666666667
10,130,0.8614583333333334
10,150,0.8615416666666667
15,5,0.7485416666666667
15,20,0.844125
15,30,0.8515
15,50,0.8556874999999999
15,70,0.8564583333333333
15,100,0.8578541666666666
15,130,0.8576041666666667
15,150,0.8561875000000001
20,5,0.7474791666666667
20,20,0.8426041666666666
20,30,0.8496875000000002
20,50,0.8536041666666666
20,70,0.8546875
20,100,0.8560833333333333
20,130,0.8551875000000001
20,150,0.8543749999999999
25,5,0.74875
25,20,0.8401458333333334
25,30,0.8461458333333333
25,50,0.8517291666666666
25,70,0.8521041666666667
25,100,0.8533125
25,130,0.8521041666666667
25,150,0.8502916666666668
30,5,0.7491249999999999
30,20,0.8389791666666667
30,30,0.8451458333333333
30,50,0.8503333333333334
30,70,0.8495833333333334
30,100,0.851125
30,130,0.8495416666666668
30,150,0.8478541666666667
