k,time
1,547.7507467746734
10,584.468011713028
15,592.1519003391265
20,596.6503878593445
25,607.9132290363311
30,606.3449229240417
35,605.5815876483917
40,614.2358195781708
45,610.1725749015808
50,611.3559224128724
55,612.6883064746856
60,612.067720746994
65,610.6571123123169
70,609.7838747024537
75,614.3327476024627
80,614.4288146972656
85,619.8489518642425
90,618.9884947776794
95,622.3518588066102
100,619.0135816574096
1,553.0918900966644
2,564.5444522380828
3,571.9437467575074
4,577.0473316192626
5,577.9251674652099
6,585.9579404354096
7,583.3499049663544
8,587.0368003845215
9,587.9698540687561
10,592.0729796409607
11,588.8790622234344
12,594.9539587974548
13,594.778052186966
14,594.9447117805481
