k,componentes principales,time
5,5,2.901074171066284
5,20,7.350833177566528
5,30,13.99708080291748
5,50,43.11793231964111
5,70,94.80449986457825
5,100,143.10782408714294
5,130,164.88271522521973
5,150,176.55681133270264
10,5,2.964526653289795
10,20,7.883835792541504
10,30,14.397613286972046
10,50,47.837302684783936
10,70,104.37132740020752
10,100,151.47221779823303
10,130,161.5721230506897
10,150,187.36325550079346
15,5,2.8965671062469482
15,20,8.163418054580688
15,30,14.768277645111084
15,50,50.284064531326294
15,70,104.50058436393738
15,100,155.3297245502472
15,130,175.18935656547546
15,150,185.44593453407288
20,5,3.1252033710479736
20,20,8.876681327819824
20,30,15.727764129638672
20,50,52.97868537902832
20,70,111.89839172363281
20,100,157.9379711151123
20,130,164.46412992477417
20,150,179.97011423110962
25,5,3.0992705821990967
25,20,8.503003120422363
25,30,15.619016885757446
25,50,52.19193077087402
25,70,102.8790557384491
25,100,160.81953191757202
25,130,178.69402766227722
25,150,181.04015970230103
30,5,4.057758331298828
30,20,9.250049352645874
30,30,16.678187131881714
30,50,52.018948793411255
30,70,104.84991335868835
30,100,162.11636590957642
30,130,176.60836911201477
30,150,182.05969786643982
1,5,3.0905966758728027
1,20,6.138769149780273
1,30,10.602410554885864
1,50,32.82722234725952
1,70,76.49991941452026
1,100,122.64803433418274
1,130,152.639333486557
1,150,162.9583284854889
1,200,215.607488155365
2,5,2.6956722736358643
2,20,6.38249135017395
2,30,11.488087177276611
2,50,36.08779454231262
2,70,83.85391068458557
2,100,132.31660199165344
2,130,149.39887022972107
2,150,161.95078301429749
2,200,215.4507701396942
3,5,2.8816404342651367
3,20,6.884250164031982
3,30,12.072359085083008
3,50,39.20639514923096
3,70,90.44503045082092
3,100,138.11175084114075
3,130,164.83404278755188
3,150,174.05706644058228
3,200,219.07820105552673
4,5,2.9264423847198486
4,20,7.261556386947632
4,30,12.1501305103302
4,50,38.02481698989868
4,70,92.78107070922852
4,100,140.74426412582397
4,130,169.02773642539978
4,150,176.2799973487854
4,200,210.86346197128296
5,5,3.4106805324554443
5,20,7.405655860900879
5,30,13.267940044403076
5,50,41.79446601867676
5,70,87.81128573417664
5,100,144.43832421302795
5,130,156.90851664543152
5,150,182.68740940093994
5,200,222.08164405822754
6,5,2.9082579612731934
6,20,7.499345302581787
6,30,13.1273775100708
6,50,44.01698637008667
6,70,87.90548658370972
6,100,146.26311612129211
6,130,155.95348286628723
6,150,183.80160474777222
6,200,213.50059914588928
7,5,2.7487704753875732
7,20,8.073753833770752
7,30,14.03958010673523
7,50,46.578168630599976
7,70,90.69135642051697
7,100,147.5208113193512
7,130,157.3900864124298
7,150,170.30527448654175
7,200,214.64148926734924
8,5,2.756817579269409
8,20,7.5248048305511475
8,30,13.514093399047852
8,50,45.7697548866272
8,70,90.61348533630371
8,100,149.4277148246765
8,130,168.54595708847046
8,150,181.79349184036255
8,200,224.4674952030182
9,5,2.8969225883483887
9,20,7.798934459686279
9,30,13.93831992149353
9,50,44.1294367313385
9,70,101.92560648918152
9,100,151.5844964981079
9,130,170.63199043273926
9,150,178.26838064193726
9,200,211.14647316932678
10,5,2.9935548305511475
10,20,7.839715957641602
10,30,13.778083086013794
10,50,44.14016079902649
10,70,104.134690284729
10,100,150.7149477005005
10,130,165.67452597618103
10,150,171.99968266487122
10,200,227.32179856300354
11,5,2.944586753845215
11,20,7.712723016738892
11,30,14.47923755645752
11,50,48.833534479141235
11,70,101.83843660354614
11,100,152.43575072288513
11,130,160.84644222259521
11,150,177.71972632408142
11,200,218.69980025291443
12,5,2.855414628982544
12,20,7.8488078117370605
12,30,14.469484329223633
12,50,48.48184394836426
12,70,106.79834747314453
12,100,152.12621569633484
12,130,160.8181483745575
12,150,175.42935490608215
12,200,227.85848879814148
13,5,2.891209602355957
13,20,8.04482913017273
13,30,14.789846420288086
13,50,49.279897928237915
13,70,106.92764616012573
13,100,153.1197144985199
13,130,166.70733404159546
13,150,186.5853464603424
13,200,228.01004719734192
14,5,2.8939011096954346
14,20,8.007457971572876
14,30,14.505675315856934
14,50,50.233986139297485
14,70,99.2982428073883
14,100,153.11942648887634
14,130,173.66672778129578
14,150,173.83528089523315
14,200,218.76905751228333
